date ,year,gear,lat_end,long_end,basin,species,tag_id,tl_mm,fl_mm,girth_mm,wt_g,acoustic_tag,fin,maxillary,sex,fin_clip_type,drying_number,ground,dry_dup,vemco_tag,est_life,min_delay,max_delay,acc_sampling_rate_hz,power,acc_on_sec,vemco_type,vemco_id,transmitter_serial
12-Sep-17,2017,rr,45.4345,-74.4656,West Basin,lt,1652,455,410,210,,yes,yes,no,,caudal,T2,y,x,V13,353,90,180,5,L,25,Acc,10683,1193450
12-Sep-17,2017,rr,45.808,-74.76672,East Basin,lt,1170,575,530,315,,yes,yes,no,F,caudal,30,y,x,V13,353,90,180,5,L,25,Acc,10687,1193454
12-Sep-17,2017,rr,45.7935,-74.74965,East Basin,lt,1168,465,425,220,,yes,yes,no,,caudal,26,y,x,V7,98,15,65,,L,,Reg,35735,1216715
12-Sep-17,2017,rr,45.81539,-74.78142,West Basin,lt,2,485,450,230,,yes,yes,no,,caudal,24,y,x,V7,98,15,65,,L,,Reg,35743,1216723
12-Sep-17,2017,rr,45.79488,-74.75202,East Basin,lt,1169,500,470,260,,yes,yes,no,,caudal,85,y,x,V7,98,15,65,,L,,Reg,35746,1216726
12-Sep-17,2017,rr,45.8056,-74.78763,West Basin,lt,1171,510,470,225,,yes,yes,no,,caudal,,,,V7,98,15,65,,L,,Reg,35747,1216727
12-Sep-17,2017,rr,45.5015,-74.4732,West Basin,lt,1654,470,435,220,,yes,yes,no,,caudal,69,y,x,V7,98,15,65,,L,,Reg,35759,1216739
12-Sep-17,2017,rr,45.79673,-74.75097,West Basin,lt,1167,475,445,210,,yes,yes,no,,caudal,43,y,x,V7,98,15,65,,L,,Reg,35761,1216741
12-Sep-17,2017,rr,45.79512,-74.74922,West Basin,lt,1166,495,450,230,,yes,yes,no,,caudal,5,y,x,V7,98,15,65,,L,,Reg,35767,1216747
14-Sep-17,2017,rr,45.80273,-74.78822,West Basin,lt,1158,380,348,166,,yes,yes,no,F,caudal,62,y,x,V7,98,15,65,,L,,Reg,35778,1216758
14-Sep-17,2017,rr,45.78003,-74.74224,East Basin,lt,1155,494,439,221,,yes,yes,no,F,caudal,190,y,x,V13,1130,80,160,,L,,T/P,15742,1276049
14-Sep-17,2017,rr,45.8037,-74.78931,West Basin,lt,1159,501,445,245,,yes,yes,no,,caudal,42,y,x,V13,1130,80,160,,L,,T/P,15744,1276050
13-Sep-17,2017,rr,45.81793,-74.78225,West Basin,lt,1656,485,440,230,,yes,yes,no,,caudal,T14,y,x,V13,1130,80,160,,L,,T/P,15746,1276051
13-Sep-17,2017,rr,45.5056,-74.4658,West Basin,lt,1165,495,450,240,,yes,yes,no,,caudal,330,y,x,V13,1130,80,160,,L,,T/P,15748,1276052
